Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
M/s. Sri Power Generation Ltd,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,14-Jan-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/S. Amrit Jal Ventures Pvt Ltd,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,7-Mar-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Kishore Electro Infra Pvt Ltd,1,Solar,Guntur,16.3,80.45,Andhra Pradesh,13-Mar-2012,9.95,1480,"[5.876765727996826, 6.448623180389404, 6.707615852355957, 6.568413257598877, 5.95897102355957, 5.020695209503174, 4.680469036102295, 4.982085227966309, 5.452865123748779, 5.374736309051514, 5.487008571624756, 5.38821268081665]",5.662205219,"[182.1797332763672, 180.5614471435547, 207.93609619140625, 197.05239868164062, 184.7281036376953, 150.620849609375, 145.09454345703125, 154.44464111328125, 163.58595275878906, 166.6168212890625, 164.61026000976562, 167.0345916748047]"
M/s. Gajanan Financial Services Pvt\rLtd,1,Solar,Kurnool,15.82547,78.03012,Andhra Pradesh,14-Mar-2012,9.95,1480,"[6.261613845825195, 6.7980875968933105, 7.0308518409729, 6.675332546234131, 6.159399509429932, 5.432031631469727, 4.832518100738525, 5.295962333679199, 5.691495418548584, 5.68200159072876, 6.011066913604736, 5.9435319900512695]",5.984491348,"[194.1100311279297, 190.34645080566406, 217.95640563964844, 200.25997924804688, 190.94139099121094, 162.96095275878906, 149.8080596923828, 164.17483520507812, 170.74485778808594, 176.1420440673828, 180.33200073242188, 184.24949645996094]"
M/s. Andhra Pradesh Industries\rInfrastructure Corporation Ltd,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,15-Mar-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Saisudhir Energy Ltd,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,5-Jan-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Welspun Solar Pvt Ltd,5,Solar,Kadapa,14.05746,78.74949,Andhra Pradesh,31-Dec-2011,9.95,1480,"[6.29002571105957, 6.935344219207764, 7.039735794067383, 6.7541728019714355, 6.242395877838135, 5.570552349090576, 5.329595565795898, 5.546454429626465, 6.0452752113342285, 5.507758140563965, 5.506104469299316, 5.299879550933838]",6.005609035,"[194.9907989501953, 194.18963623046875, 218.2318115234375, 202.62518310546875, 193.51426696777344, 167.1165771484375, 165.21746826171875, 171.94009399414062, 181.35826110839844, 170.74050903320312, 165.18313598632812, 164.2962646484375]"
M/s. Rithwik Projects Pvt Ltd,2,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,25-Apr-2012,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
"B.G Channappa , Class-I",4,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,22-Apr-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Value Labs LLP,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,24-Apr-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Emmvee Energy Pvt Ltd,10,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,4-May-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. The KCP Limited,1.15,Solar,Krishna,16.16667,81.13333,Andhra Pradesh,6-Jun-2013,9.95,1480,"[5.858093738555908, 6.2821784019470215, 6.8421630859375, 6.670049667358398, 5.9824442863464355, 5.012963771820068, 4.669647216796875, 4.903696537017822, 5.319089889526367, 5.054885387420654, 5.665530681610107, 5.482147216796875]",5.645240784,"[181.6009063720703, 175.9010009765625, 212.1070556640625, 200.1014862060547, 185.45578002929688, 150.388916015625, 144.75906372070312, 152.01458740234375, 159.57269287109375, 156.70144653320312, 169.96592712402344, 169.94656372070312]"
M/s. Rithwik Projects Pvt Ltd,3,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,5-Jul-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Sri City Power Pvt Ltd,3,Solar,Chittor,11.54317,77.71431,Andhra Pradesh,29-Oct-2013,9.95,1480,"[6.333261966705322, 6.878137111663818, 7.046114921569824, 6.543658256530762, 6.126475811004639, 5.62269401550293, 5.564590930938721, 5.747568607330322, 6.21060848236084, 5.716052055358887, 5.445281028747559, 5.6035356521606445]",6.069832325,"[196.33111572265625, 192.5878448486328, 218.4295654296875, 196.30975341796875, 189.92074584960938, 168.68081665039062, 172.5023193359375, 178.17462158203125, 186.31825256347656, 177.19761657714844, 163.35842895507812, 173.70960998535156]"
M/s. Ravali Spinners Pvt Ltd,1,Solar,Godavari,16.93333,82.21667,Andhra Pradesh,5-Jan-2014,9.95,1480,"[5.906179428100586, 6.458744049072266, 6.6637701988220215, 6.6233649253845215, 5.865584373474121, 4.982780933380127, 4.516619682312012, 4.814517021179199, 5.1680707931518555, 5.517139911651611, 5.84665060043335, 5.579362392425537]",5.66189909,"[183.09156799316406, 180.84483337402344, 206.57687377929688, 198.70094299316406, 181.83311462402344, 149.48342895507812, 140.0152130126953, 149.25003051757812, 155.04212951660156, 171.03134155273438, 175.39952087402344, 172.96023559570312]"
M/s. Timax Sands Pvt Ltd,1,Solar,Srikakulam,18.3,83.9,Andhra Pradesh,26-Mar-2014,9.95,1480,"[5.932560920715332, 6.426199913024902, 6.507110595703125, 6.39630651473999, 5.894781112670898, 5.112340927124023, 4.501535892486572, 4.765370845794678, 5.2945756912231445, 5.650057792663574, 5.644994735717773, 5.619207859039307]",5.645420551,"[183.90939331054688, 179.93359375, 201.72042846679688, 191.88919067382812, 182.73822021484375, 153.37022399902344, 139.547607421875, 147.72650146484375, 158.83726501464844, 175.15179443359375, 169.34983825683594, 174.19544982910156]"
M/s. Saisudhir Energy Ltd,10,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,26-Apr-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Saisudhir Energy Ltd,10,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,24-Jul-2013,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. MEIL Green Power Ltd,50,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,4-Nov-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Solarys Eco Energy,2,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,29-Apr-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
"Meda Sreedhar ,No-89 Moparahalli",2,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,29-Apr-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Prakash Motors,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,29-Apr-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Prakash Agencies Energy,1,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,29-Apr-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Emmvee Energy Pvt Ltd,4,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,29-Apr-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. The Andhra Sugars Ltd,2.5,Solar,Godavari,16.93333,82.21667,Andhra Pradesh,21-Jun-2014,9.95,1480,"[5.906179428100586, 6.458744049072266, 6.6637701988220215, 6.6233649253845215, 5.865584373474121, 4.982780933380127, 4.516619682312012, 4.814517021179199, 5.1680707931518555, 5.517139911651611, 5.84665060043335, 5.579362392425537]",5.66189909,"[183.09156799316406, 180.84483337402344, 206.57687377929688, 198.70094299316406, 181.83311462402344, 149.48342895507812, 140.0152130126953, 149.25003051757812, 155.04212951660156, 171.03134155273438, 175.39952087402344, 172.96023559570312]"
M/s. Indira Power Pvt Ltd,0.7,Solar,Nellore,14.43979,79.99362,Andhra Pradesh,28-Jun-2014,9.95,1480,"[5.926955223083496, 6.6211018562316895, 7.0146989822387695, 6.778562545776367, 6.071378231048584, 5.58504581451416, 5.1328511238098145, 5.341370582580566, 5.601578712463379, 5.252101421356201, 5.395125865936279, 4.931799411773682]",5.804380417,"[183.73561096191406, 185.39085388183594, 217.45567321777344, 203.35687255859375, 188.2127227783203, 167.55137634277344, 159.11837768554688, 165.58248901367188, 168.04736328125, 162.8151397705078, 161.85377502441406, 152.8857879638672]"
M/s. Savitha Renewable Energy Pvt\rLtd,1,Solar,Guntur,16.3,80.45,Andhra Pradesh,19-Jan-2015,9.95,1480,"[5.876765727996826, 6.448623180389404, 6.707615852355957, 6.568413257598877, 5.95897102355957, 5.020695209503174, 4.680469036102295, 4.982085227966309, 5.452865123748779, 5.374736309051514, 5.487008571624756, 5.38821268081665]",5.662205219,"[182.1797332763672, 180.5614471435547, 207.93609619140625, 197.05239868164062, 184.7281036376953, 150.620849609375, 145.09454345703125, 154.44464111328125, 163.58595275878906, 166.6168212890625, 164.61026000976562, 167.0345916748047]"
M/s. Arkha Solsr Pvt Ltd,1,Solar,Rangampeta,17.08943,81.98543,Andhra Pradesh,1-Jan-2015,9.95,1480,"[5.8400492668151855, 6.4290289878845215, 6.749105453491211, 6.511030673980713, 5.8805718421936035, 5.016188621520996, 4.669028282165527, 4.659770965576172, 5.306841850280762, 5.3632988929748535, 5.871835708618164, 5.388492107391357]",5.640436649,"[181.04153442382812, 180.0128173828125, 209.22227478027344, 195.33091735839844, 182.2977294921875, 150.48565673828125, 144.73988342285156, 144.45289611816406, 159.20526123046875, 166.26226806640625, 176.1550750732422, 167.0432586669922]"
M/s. Amaravathi Textiles Pvt Ltd,5,Solar,Nellore,14.43979,79.99362,Andhra Pradesh,31-Mar-2015,9.95,1480,"[5.926955223083496, 6.6211018562316895, 7.0146989822387695, 6.778562545776367, 6.071378231048584, 5.58504581451416, 5.1328511238098145, 5.341370582580566, 5.601578712463379, 5.252101421356201, 5.395125865936279, 4.931799411773682]",5.804380417,"[183.73561096191406, 185.39085388183594, 217.45567321777344, 203.35687255859375, 188.2127227783203, 167.55137634277344, 159.11837768554688, 165.58248901367188, 168.04736328125, 162.8151397705078, 161.85377502441406, 152.8857879638672]"
M/s. Laxmi Venkateswara Green\rEnergy Pvt Ltd,1,Solar,Krishna,16.16667,81.13333,Andhra Pradesh,30-Jun-2014,9.95,1480,"[5.858093738555908, 6.2821784019470215, 6.8421630859375, 6.670049667358398, 5.9824442863464355, 5.012963771820068, 4.669647216796875, 4.903696537017822, 5.319089889526367, 5.054885387420654, 5.665530681610107, 5.482147216796875]",5.645240784,"[181.6009063720703, 175.9010009765625, 212.1070556640625, 200.1014862060547, 185.45578002929688, 150.388916015625, 144.75906372070312, 152.01458740234375, 159.57269287109375, 156.70144653320312, 169.96592712402344, 169.94656372070312]"
M/s. Abhedya Power Pvt Ltd,2,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,8-Aug-2014,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Varshini Exim Pvt Ltd,2.4,Solar,Chittor,11.54317,77.71431,Andhra Pradesh,30-Apr-2015,9.95,1480,"[6.333261966705322, 6.878137111663818, 7.046114921569824, 6.543658256530762, 6.126475811004639, 5.62269401550293, 5.564590930938721, 5.747568607330322, 6.21060848236084, 5.716052055358887, 5.445281028747559, 5.6035356521606445]",6.069832325,"[196.33111572265625, 192.5878448486328, 218.4295654296875, 196.30975341796875, 189.92074584960938, 168.68081665039062, 172.5023193359375, 178.17462158203125, 186.31825256347656, 177.19761657714844, 163.35842895507812, 173.70960998535156]"
M/s. Emmvee Energy Pvt Ltd,5.4,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,17-Jul-2015,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Vuddanda Solar Projects Pvt\rLtd,3,Solar,Chittor,11.54317,77.71431,Andhra Pradesh,1-Oct-2015,9.95,1480,"[6.333261966705322, 6.878137111663818, 7.046114921569824, 6.543658256530762, 6.126475811004639, 5.62269401550293, 5.564590930938721, 5.747568607330322, 6.21060848236084, 5.716052055358887, 5.445281028747559, 5.6035356521606445]",6.069832325,"[196.33111572265625, 192.5878448486328, 218.4295654296875, 196.30975341796875, 189.92074584960938, 168.68081665039062, 172.5023193359375, 178.17462158203125, 186.31825256347656, 177.19761657714844, 163.35842895507812, 173.70960998535156]"
M/s. Sri Sai Achyuth Energy Pvt Ltd,5,Solar,Kurnool,15.82547,78.03012,Andhra Pradesh,18-Oct-2015,9.95,1480,"[6.261613845825195, 6.7980875968933105, 7.0308518409729, 6.675332546234131, 6.159399509429932, 5.432031631469727, 4.832518100738525, 5.295962333679199, 5.691495418548584, 5.68200159072876, 6.011066913604736, 5.9435319900512695]",5.984491348,"[194.1100311279297, 190.34645080566406, 217.95640563964844, 200.25997924804688, 190.94139099121094, 162.96095275878906, 149.8080596923828, 164.17483520507812, 170.74485778808594, 176.1420440673828, 180.33200073242188, 184.24949645996094]"
M/S. Rajaratna Energy Holdings Pvt\rLtd,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,22-Nov-2015,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Sri Vijaya Visakha Milk\rProducers Co. Ltd,1.65,Solar,Vizianagaram,18.13722,83.33082,Andhra Pradesh,27-Nov-2015,9.95,1480,"[5.806013584136963, 6.34377908706665, 6.774599075317383, 6.356024265289307, 5.85111665725708, 4.858915328979492, 4.684232234954834, 4.649153709411621, 5.394354820251465, 5.562382221221924, 5.5983991622924805, 5.517501354217529]",5.616372585,"[179.98641967773438, 177.6258087158203, 210.0125732421875, 190.68072509765625, 181.38461303710938, 145.7674560546875, 145.21119689941406, 144.12376403808594, 161.8306427001953, 172.43385314941406, 167.9519805908203, 171.04254150390625]"
M/s. Amaravathi Textiles Pvt Ltd,5,Solar,Nellore,14.43979,79.99362,Andhra Pradesh,28-Nov-2015,9.95,1480,"[5.926955223083496, 6.6211018562316895, 7.0146989822387695, 6.778562545776367, 6.071378231048584, 5.58504581451416, 5.1328511238098145, 5.341370582580566, 5.601578712463379, 5.252101421356201, 5.395125865936279, 4.931799411773682]",5.804380417,"[183.73561096191406, 185.39085388183594, 217.45567321777344, 203.35687255859375, 188.2127227783203, 167.55137634277344, 159.11837768554688, 165.58248901367188, 168.04736328125, 162.8151397705078, 161.85377502441406, 152.8857879638672]"
M/s.Pragathi Group,2,Solar,Chintalapudi,17.09853,80.90915,Andhra Pradesh,31-Dec-2015,9.95,1480,"[6.0522589683532715, 6.367230415344238, 6.612899303436279, 6.5972466468811035, 6.003677845001221, 5.0575127601623535, 4.656871795654297, 4.826290607452393, 5.335906028747559, 5.507963180541992, 5.687880516052246, 5.396559238433838]",5.675191879,"[187.62002563476562, 178.28245544433594, 204.9998779296875, 197.9174041748047, 186.114013671875, 151.7253875732422, 144.36302185058594, 149.61500549316406, 160.07717895507812, 170.74685668945312, 170.63641357421875, 167.2933349609375]"
M/s.GRT Jewellers (India)Pvt Ltd,6,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,5-Jan-2016,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Bright Solar Energy Pvt Ltd,10,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,5-Feb-2016,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s. Palnadu Solar Power Pvt Ltd,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,29-Jan-2016,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
M/s.Renew Solar Power Pvt Ltd,39,Solar,Kurnool,15.82547,78.03012,Andhra Pradesh,4-Mar-2016,9.95,1480,"[6.261613845825195, 6.7980875968933105, 7.0308518409729, 6.675332546234131, 6.159399509429932, 5.432031631469727, 4.832518100738525, 5.295962333679199, 5.691495418548584, 5.68200159072876, 6.011066913604736, 5.9435319900512695]",5.984491348,"[194.1100311279297, 190.34645080566406, 217.95640563964844, 200.25997924804688, 190.94139099121094, 162.96095275878906, 149.8080596923828, 164.17483520507812, 170.74485778808594, 176.1420440673828, 180.33200073242188, 184.24949645996094]"
M/s. Renew Solar Power Pvt Ltd,21,Solar,Prakasam,15.50599,80.04994,Andhra Pradesh,8-Mar-2016,9.95,1480,"[5.840500831604004, 6.462555885314941, 6.855260372161865, 6.747847557067871, 6.034717082977295, 5.2449259757995605, 4.916670799255371, 5.344687461853027, 5.444190502166748, 5.433950424194336, 5.451323986053467, 5.381638050079346]",5.763189316,"[181.05552673339844, 180.95156860351562, 212.51307678222656, 202.4354248046875, 187.07623291015625, 157.3477783203125, 152.4167938232422, 165.68531799316406, 163.32571411132812, 168.4524688720703, 163.5397186279297, 166.83078002929688]"
M/s. Welspun Solar Pvt Ltd,30,Solar,Kadapa,14.05746,78.74949,Andhra Pradesh,20-Mar-2016,9.95,1480,"[6.29002571105957, 6.935344219207764, 7.039735794067383, 6.7541728019714355, 6.242395877838135, 5.570552349090576, 5.329595565795898, 5.546454429626465, 6.0452752113342285, 5.507758140563965, 5.506104469299316, 5.299879550933838]",6.005609035,"[194.9907989501953, 194.18963623046875, 218.2318115234375, 202.62518310546875, 193.51426696777344, 167.1165771484375, 165.21746826171875, 171.94009399414062, 181.35826110839844, 170.74050903320312, 165.18313598632812, 164.2962646484375]"
M/s. Ushodaya Enterpries Pvt Ltd,5,Solar,Ananthapuramu,14.68333,77.6,Andhra Pradesh,23-Mar-2016,9.95,1480,"[6.619419574737549, 7.0275349617004395, 7.098913669586182, 6.844274520874023, 6.190062522888184, 5.592870712280273, 5.142593860626221, 5.380473613739014, 5.809873580932617, 5.793665885925293, 5.747349262237549, 5.798633575439453]",6.08713913,"[205.20201110839844, 196.77098083496094, 220.0663299560547, 205.32823181152344, 191.89193725585938, 167.78611755371094, 159.42041015625, 166.794677734375, 174.29620361328125, 179.6036376953125, 172.42047119140625, 179.7576446533203]"
