Name of Plant,Installed Capacity (MW),Type,Location (District),Latitude,Longitude,State,Date of Commissioning,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly
Oil India Limited,5,Solar,Jaisalmer,26.91947,70.91432,Rajasthan,23-Jan-2014,7.95,1282,"[5.783580780029297, 6.281976222991943, 6.730288982391357, 6.865492343902588, 6.700809478759766, 6.244972229003906, 5.916469097137451, 6.026190757751465, 6.475043296813965, 6.546916484832764, 5.982253074645996, 5.467385768890381]",6.251781464,"[179.29100036621094, 175.8953399658203, 208.6389617919922, 205.9647674560547, 207.72509765625, 187.3491668701172, 183.41053771972656, 186.81192016601562, 194.2512969970703, 202.95440673828125, 179.46759033203125, 169.48895263671875]"
Bharat Power Inc. (Part-\rII),1,Solar,Bikaner,28.01647,73.31184,Rajasthan,27-Jan-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Royal Electricals,0.25,Solar,Bikaner,28.01647,73.31184,Rajasthan,6-Feb-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Saraf Export Place,3,Solar,Bikaner,28.01647,73.31184,Rajasthan,28-Feb-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Autobat Batteries (P)\rLimited,0.25,Solar,Bikaner,28.01647,73.31184,Rajasthan,7-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Essel Mining & Industries\rLimited,20,Solar,Jodhpur,26.26691,73.03052,Rajasthan,12-Mar-2014,7.95,1282,"[6.2187042236328125, 6.566390514373779, 7.07090950012207, 7.000625133514404, 6.772578239440918, 6.17702579498291, 5.591103553771973, 5.518489837646484, 6.286740303039551, 6.612390041351318, 6.0205841064453125, 5.576983451843262]",6.284376621,"[192.7798309326172, 183.8589324951172, 219.1981964111328, 210.0187530517578, 209.94992065429688, 185.31077575683594, 173.32420349121094, 171.07318115234375, 188.60220336914062, 204.9840850830078, 180.61752319335938, 172.88648986816406]"
SNCA Energy &\rInfrastructure Pvt. Ltd.,1,Solar,Jodhpur,26.26691,73.03052,Rajasthan,18-Mar-2014,7.95,1282,"[6.2187042236328125, 6.566390514373779, 7.07090950012207, 7.000625133514404, 6.772578239440918, 6.17702579498291, 5.591103553771973, 5.518489837646484, 6.286740303039551, 6.612390041351318, 6.0205841064453125, 5.576983451843262]",6.284376621,"[192.7798309326172, 183.8589324951172, 219.1981964111328, 210.0187530517578, 209.94992065429688, 185.31077575683594, 173.32420349121094, 171.07318115234375, 188.60220336914062, 204.9840850830078, 180.61752319335938, 172.88648986816406]"
Murarka Suitings (P)\rLimited,1,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Designco,2.5,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
Vinay Corporation (P)\rLimited (2nd Project),1,Solar,Bikaner,28.01647,73.31184,Rajasthan,30-Mar-2014,7.95,1282,"[5.559354305267334, 6.264702796936035, 6.715618133544922, 6.844983100891113, 6.533813953399658, 6.097417831420898, 5.8675618171691895, 6.04442024230957, 6.637346267700195, 6.4079060554504395, 5.717188835144043, 5.301156520843506]",6.165955067,"[172.33998107910156, 175.41168212890625, 208.1841583251953, 205.3494873046875, 202.54823303222656, 182.9225311279297, 181.8944091796875, 187.3770294189453, 199.12039184570312, 198.64508056640625, 171.5156707763672, 164.33584594726562]"
