Unnamed: 0,Location (District),Installed Capacity (MW),Latitude,Longitude,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly,allsky_insolation
106,Ichhawar,9.63,23.0232,77.02262,6.5,1084,"[5.90253210067749, 6.806888103485107, 7.0009565353393555, 7.034267902374268, 6.558182716369629, 5.275250434875488, 4.081051826477051, 4.3535943031311035, 5.801701068878174, 6.4716267585754395, 6.001618385314941, 5.8562912940979]",5.928663254,"[182.97850036621094, 190.59286499023438, 217.02964782714844, 211.0280303955078, 203.3036651611328, 158.25750732421875, 126.51260375976562, 134.96142578125, 174.051025390625, 200.62042236328125, 180.04855346679688, 181.54502868652344]","[4.94, 4.99, 4.99, 4.89, 4.77]"
107,Indore,1.33,22.71622,75.86512,6.5,1084,"[6.053735256195068, 6.903107166290283, 7.2406907081604, 7.017911434173584, 6.654614448547363, 5.3960371017456055, 4.283026695251465, 4.318739891052246, 5.57012414932251, 6.324468612670898, 5.92257833480835, 5.72210693359375]",5.950595379,"[187.66578674316406, 193.28700256347656, 224.46141052246094, 210.53733825683594, 206.2930450439453, 161.88111877441406, 132.77383422851562, 133.8809356689453, 167.10372924804688, 196.05853271484375, 177.67735290527344, 177.38531494140625]","[4.99, 5.02, 5.07, 5.0, 4.79]"
108,Itanagar,2.09,27.08702,93.60903,4,703,"[4.457465171813965, 4.78045129776001, 4.84514045715332, 4.280994892120361, 4.869809150695801, 4.172638893127441, 4.12764310836792, 4.356834888458252, 4.544142723083496, 5.240609645843506, 4.8838324546813965, 4.541852951049805]",4.591784,"[138.18142700195312, 133.85263061523438, 150.19935607910156, 128.42984008789062, 150.96408081054688, 125.17916107177734, 127.95693969726562, 135.06187438964844, 136.32427978515625, 162.45889282226562, 146.5149688720703, 140.7974395751953]","[3.47, 3.52, 3.5, 3.48, 3.4]"
109,Itarsi,10,22.61667,77.75,6.5,1084,"[5.807025909423828, 6.526183128356934, 7.193970203399658, 7.0027642250061035, 6.560848712921143, 5.363367557525635, 4.291771411895752, 4.319386005401611, 5.9063286781311035, 6.369327068328857, 5.938951015472412, 5.792910099029541]",5.922736645,"[180.01780700683594, 182.73312377929688, 223.01307678222656, 210.0829315185547, 203.3863067626953, 160.90103149414062, 133.04490661621094, 133.90097045898438, 177.1898651123047, 197.4491424560547, 178.1685333251953, 179.58021545410156]","[5.01, 5.01, 5.07, 4.91, 4.75]"
110,Jaipur,1,26.92573,75.80659,7.95,1282,"[5.584192276000977, 6.5043864250183105, 7.087488174438477, 7.008495807647705, 6.663339614868164, 5.979172706604004, 5.0339741706848145, 5.174844741821289, 6.209578037261963, 6.2314677238464355, 5.960306644439697, 5.462022304534912]",6.074938297,"[173.10995483398438, 182.12281799316406, 219.71212768554688, 210.25486755371094, 206.5635223388672, 179.37518310546875, 156.05319213867188, 160.42018127441406, 186.28733825683594, 193.17550659179688, 178.8092041015625, 169.32269287109375]","[5.18, 5.17, 5.19, 5.1, 5.02]"
111,Jaisalmer,323,26.91947,70.91432,7.95,1282,"[5.783580780029297, 6.281976222991943, 6.730288982391357, 6.865492343902588, 6.700809478759766, 6.244972229003906, 5.916469097137451, 6.026190757751465, 6.475043296813965, 6.546916484832764, 5.982253074645996, 5.467385768890381]",6.251781464,"[179.29100036621094, 175.8953399658203, 208.6389617919922, 205.9647674560547, 207.72509765625, 187.3491668701172, 183.41053771972656, 186.81192016601562, 194.2512969970703, 202.95440673828125, 179.46759033203125, 169.48895263671875]","[5.49, 5.53, 5.5, 5.56, 5.38]"
112,Jalaun,15,26.1429,79.32559,7,606,"[4.536775588989258, 5.999718189239502, 6.893643856048584, 6.833595275878906, 6.410351753234863, 5.638491630554199, 4.950173854827881, 5.001954078674316, 5.664290904998779, 5.789050102233887, 5.210520267486572, 4.715935230255127]",5.637041569,"[140.64004516601562, 167.9921112060547, 213.7029571533203, 205.0078582763672, 198.7209014892578, 169.15475463867188, 153.45538330078125, 155.06057739257812, 169.92872619628906, 179.46055603027344, 156.31561279296875, 146.19398498535156]","[4.88, 4.82, 4.86, 4.78, 4.66]"
113,Jaluan,140,26.1429,79.32559,7,606,"[4.536775588989258, 5.999718189239502, 6.893643856048584, 6.833595275878906, 6.410351753234863, 5.638491630554199, 4.950173854827881, 5.001954078674316, 5.664290904998779, 5.789050102233887, 5.210520267486572, 4.715935230255127]",5.637041569,"[140.64004516601562, 167.9921112060547, 213.7029571533203, 205.0078582763672, 198.7209014892578, 169.15475463867188, 153.45538330078125, 155.06057739257812, 169.92872619628906, 179.46055603027344, 156.31561279296875, 146.19398498535156]","[4.88, 4.82, 4.86, 4.78, 4.66]"
114,Jamnagar,42.34,22.46898,70.07079,5,2378,"[6.321956634521484, 6.49141788482666, 7.178561687469482, 7.095566749572754, 6.687758445739746, 5.605226039886475, 4.33836030960083, 4.523786544799805, 5.806692123413086, 6.512421607971191, 5.912435054779053, 5.97687292098999]",6.03758812,"[195.98065185546875, 181.75970458984375, 222.53541564941406, 212.86700439453125, 207.3205108642578, 168.1567840576172, 134.48916625976562, 140.2373809814453, 174.2007598876953, 201.88507080078125, 177.373046875, 185.28306579589844]","[5.31, 5.2, 5.23, 5.27, 5.13]"
115,Jhansi,23,25.44858,78.56955,7,606,"[5.631213188171387, 6.202089786529541, 7.009164333343506, 6.916471481323242, 6.383450031280518, 5.584036350250244, 4.8301520347595215, 4.867300987243652, 5.921629905700684, 6.116287708282471, 5.454858303070068, 5.114977836608887]",5.835969448,"[174.56761169433594, 173.65850830078125, 217.28408813476562, 207.494140625, 197.88694763183594, 167.52108764648438, 149.73471069335938, 150.88633728027344, 177.64889526367188, 189.60491943359375, 163.645751953125, 158.56431579589844]","[4.99, 4.91, 4.97, 4.89, 4.77]"
116,Jhunjhunu,1,28.12564,75.4004,7.95,1282,"[5.336721897125244, 6.14788293838501, 6.74997615814209, 7.104951858520508, 6.399823188781738, 5.8037896156311035, 5.403420448303223, 5.844006538391113, 6.240303993225098, 6.078742504119873, 5.641234874725342, 5.210827827453613]",5.996807098,"[165.43838500976562, 172.14071655273438, 209.249267578125, 213.1485595703125, 198.39451599121094, 174.1136932373047, 167.5060272216797, 181.16419982910156, 187.20912170410156, 188.44102478027344, 169.23704528808594, 161.53565979003906]","[4.98, 5.04, 5.03, 5.01, 4.9]"
117,Jodhpur,2292.9,26.26691,73.0305200000001,7.95000000000002,1282,"[6.2187042236328125, 6.566390514373779, 7.07090950012207, 7.000625133514404, 6.772578239440918, 6.17702579498291, 5.591103553771973, 5.518489837646484, 6.286740303039551, 6.612390041351318, 6.0205841064453125, 5.576983451843262]",6.284376621,"[192.7798309326172, 183.8589324951172, 219.1981964111328, 210.0187530517578, 209.94992065429688, 185.31077575683594, 173.32420349121094, 171.07318115234375, 188.60220336914062, 204.9840850830078, 180.61752319335938, 172.88648986816406]","[5.35, 5.36, 5.32, 5.34, 5.25]"
118,Jullang,0.1,27.08092,93.63173,4,703,"[4.457318305969238, 4.780365943908691, 4.845137596130371, 4.281074523925781, 4.869977951049805, 4.172799110412598, 4.127795219421387, 4.3569488525390625, 4.5441718101501465, 5.240513801574707, 4.883667469024658, 4.541663646697998]",4.591785908,"[138.17686462402344, 133.85025024414062, 150.1992645263672, 128.43223571777344, 150.9693145751953, 125.18397521972656, 127.9616470336914, 135.06541442871094, 136.3251495361328, 162.4559326171875, 146.51002502441406, 140.7915802001953]","[3.47, 3.52, 3.5, 3.48, 3.4]"
119,Junagadh,10,21.51667,70.46667,5,2378,"[6.435152530670166, 6.938706874847412, 7.173581123352051, 7.155649185180664, 6.638729572296143, 5.517235279083252, 4.153689384460449, 4.120569705963135, 5.732425212860107, 6.541751384735107, 5.925754070281982, 6.001285552978516]",6.027877808,"[199.48973083496094, 194.28379821777344, 222.38101196289062, 214.6694793701172, 205.8006134033203, 165.51705932617188, 128.76437377929688, 127.73765563964844, 171.97276306152344, 202.79429626464844, 177.7726287841797, 186.03985595703125]","[5.27, 5.13, 5.21, 5.19, 5.07]"
