Unnamed: 0,Location (District),Installed Capacity (MW),Latitude,Longitude,Average domestic electricity rates in Rs./KWh,Per capita electricity consumption in KWh,Solar Rad Monthly,Solar Rad Annual,poa monthly,allsky_insolation
140,Krishnagiri,0.75,12.52646,78.21408,6.6,1866,"[6.2440996170043945, 6.863422393798828, 7.166022300720215, 6.6236114501953125, 6.141733646392822, 5.636017322540283, 5.280202388763428, 5.542452335357666, 6.0903120040893555, 5.664209842681885, 5.3298258781433105, 5.727702617645264]",6.025800705,"[193.5670928955078, 192.1758270263672, 222.14669799804688, 198.70834350585938, 190.39373779296875, 169.0805206298828, 163.686279296875, 171.81602478027344, 182.70936584472656, 175.5904998779297, 159.894775390625, 177.55877685546875]","[5.36, 5.45, 5.29, 5.38, 5.32]"
141,Kupade Pune,2,18.50422,73.85302,8.91,1424,"[6.444565296173096, 6.991823673248291, 7.190199375152588, 6.970634937286377, 6.6227264404296875, 5.005900859832764, 4.4937262535095215, 4.470889568328857, 5.418971538543701, 6.021685600280762, 5.809427738189697, 6.045375347137451]",5.957160473,"[199.78152465820312, 195.77105712890625, 222.89617919921875, 209.11904907226562, 205.3045196533203, 150.17703247070312, 139.30551147460938, 138.5975799560547, 162.56915283203125, 186.67225646972656, 174.2828369140625, 187.40663146972656]","[5.08, 4.86, 5.01, 4.94, 4.88]"
142,Kurnool,562.65,15.82547,78.03012,9.95,1480,"[6.261613845825195, 6.7980875968933105, 7.0308518409729, 6.675332546234131, 6.159399509429932, 5.432031631469727, 4.832518100738525, 5.295962333679199, 5.691495418548584, 5.68200159072876, 6.011066913604736, 5.9435319900512695]",5.984491348,"[194.1100311279297, 190.34645080566406, 217.95640563964844, 200.25997924804688, 190.94139099121094, 162.96095275878906, 149.8080596923828, 164.17483520507812, 170.74485778808594, 176.1420440673828, 180.33200073242188, 184.24949645996094]","[5.32, 5.17, 5.25, 5.3, 5.1]"
143,Kutch,406.17,23.6240759,69.95886756,5,2378,"[6.0153303146362305, 6.369996547698975, 6.874466896057129, 6.856713771820068, 6.543484687805176, 5.5735626220703125, 4.8424153327941895, 5.114785194396973, 6.028998374938965, 6.457163333892822, 5.872786998748779, 5.805683612823486]",6.029615879,"[186.47523498535156, 178.3599090576172, 213.1084747314453, 205.701416015625, 202.8480224609375, 167.20687866210938, 150.1148681640625, 158.55833435058594, 180.8699493408203, 200.17205810546875, 176.18360900878906, 179.9761962890625]","[5.46, 5.38, 5.34, 5.35, 5.31]"
144,Lagampalayam,1,11.33645,77.2407,6.6,1866,"[6.132589817047119, 6.751747131347656, 6.921365261077881, 6.517752170562744, 6.198792457580566, 5.713278293609619, 5.483046054840088, 5.603511810302734, 6.336645126342773, 5.887190818786621, 5.534261226654053, 5.797989368438721]",6.073181152,"[190.11029052734375, 189.04891967773438, 214.56231689453125, 195.53256225585938, 192.16256713867188, 171.39834594726562, 169.97442626953125, 173.7088623046875, 190.09934997558594, 182.50291442871094, 166.02783203125, 179.7376708984375]","[5.43, 5.48, 5.33, 5.37, 5.43]"
145,Lalitpur,70,24.61465,78.44716,7,606,"[5.795139789581299, 6.606888294219971, 7.108328342437744, 6.957586288452148, 6.522269248962402, 5.568567752838135, 4.5752363204956055, 4.584313869476318, 5.845945358276367, 6.199978351593018, 5.792816162109375, 5.408700466156006]",5.913814068,"[179.6493377685547, 184.9928741455078, 220.35818481445312, 208.7275848388672, 202.1903533935547, 167.05703735351562, 141.8323211669922, 142.1137237548828, 175.37835693359375, 192.19932556152344, 173.78448486328125, 167.66970825195312]","[4.95, 4.88, 4.98, 4.91, 4.8]"
146,Longding,0.04,26.88892,95.3214,4,703,"[4.582611560821533, 4.59688663482666, 4.832828044891357, 4.352894306182861, 4.394237518310547, 4.23654842376709, 3.842287063598633, 4.216804027557373, 4.615579605102539, 5.038054466247559, 5.451774597167969, 4.826500415802002]",4.582250595,"[142.0609588623047, 128.71282958984375, 149.8176727294922, 130.58682250976562, 136.2213592529297, 127.0964584350586, 119.11090087890625, 130.72093200683594, 138.46739196777344, 156.1796875, 163.55323791503906, 149.6215057373047]","[3.83, 3.73, 3.83, 3.84, 3.87]"
147,Ltd.,7.5,23.37937974,79.44332655,7.3,2046,"[5.907991409301758, 6.805541515350342, 6.959399223327637, 6.9218058586120605, 6.4664692878723145, 5.392533779144287, 4.298878192901611, 4.439269065856934, 5.846763610839844, 6.245754718780518, 5.837709903717041, 5.891674041748047]",5.917816162,"[183.14773559570312, 190.55516052246094, 215.7413787841797, 207.6541748046875, 200.46054077148438, 161.77601623535156, 133.26522827148438, 137.61734008789062, 175.4029083251953, 193.61839294433594, 175.1313018798828, 182.6418914794922]","[4.99, 4.96, 5.03, 4.91, 4.81]"
148,"Ltd.,",7.5,23.37937974,79.44332655,7.3,2046,"[5.907991409301758, 6.805541515350342, 6.959399223327637, 6.9218058586120605, 6.4664692878723145, 5.392533779144287, 4.298878192901611, 4.439269065856934, 5.846763610839844, 6.245754718780518, 5.837709903717041, 5.891674041748047]",5.917816162,"[183.14773559570312, 190.55516052246094, 215.7413787841797, 207.6541748046875, 200.46054077148438, 161.77601623535156, 133.26522827148438, 137.61734008789062, 175.4029083251953, 193.61839294433594, 175.1313018798828, 182.6418914794922]","[4.99, 4.96, 5.03, 4.91, 4.81]"
149,Ludhiana,0.76,30.90725,75.84919,7.3,2046,"[4.6256632804870605, 5.458266258239746, 6.260770320892334, 6.463174343109131, 6.38805627822876, 5.328120708465576, 4.930152416229248, 5.3444342613220215, 6.080094337463379, 5.716609954833984, 5.246432304382324, 4.517332553863525]",5.529925823,"[143.39556884765625, 152.83145141601562, 194.08387756347656, 193.89523315429688, 198.0297393798828, 159.8436279296875, 152.83473205566406, 165.67745971679688, 182.40283203125, 177.21490478515625, 157.39297485351562, 140.0373077392578]","[4.78, 4.86, 4.86, 4.84, 4.67]"
150,Madurai,1,9.92417,78.12416,6.6,1866,"[6.052983283996582, 6.626227378845215, 6.914201736450195, 6.509244441986084, 6.008467674255371, 5.789743423461914, 5.714890480041504, 6.059463024139404, 6.183379173278809, 5.795430660247803, 5.553800582885742, 5.290256500244141]",6.041507721,"[187.64248657226562, 185.53436279296875, 214.3402557373047, 195.27732849121094, 186.2624969482422, 173.6923065185547, 177.16160583496094, 187.84335327148438, 185.50137329101562, 179.65835571289062, 166.614013671875, 163.99795532226562]","[5.46, 5.61, 5.5, 5.19, 5.3]"
151,Mahararajpur (U.P),0.12,26.32375,80.46697,7.3,978,"[4.767887115478516, 5.958092212677002, 6.963942527770996, 6.851956367492676, 6.285872936248779, 5.511141777038574, 4.756226062774658, 4.9138102531433105, 5.492194652557373, 5.71881628036499, 5.114092826843262, 4.568974494934082]",5.575250626,"[147.80450439453125, 166.8265838623047, 215.88221740722656, 205.55868530273438, 194.862060546875, 165.33425903320312, 147.44300842285156, 152.328125, 164.76583862304688, 177.28330993652344, 153.42279052734375, 141.63821411132812]","[4.85, 4.76, 4.84, 4.78, 4.63]"
152,Mahbubnagar,1091.59,16.8367429310345,78.4845782758621,9.5,1896,"[5.977735996246338, 6.68886661529541, 7.063381671905518, 6.630482196807861, 6.027322769165039, 5.292666912078857, 4.893020153045654, 5.266378402709961, 5.664548397064209, 5.719760894775391, 5.821591854095459, 5.804479122161865]",5.904186249,"[185.309814453125, 187.28826904296875, 218.96482849121094, 198.91445922851562, 186.8470001220703, 158.78001403808594, 151.68362426757812, 163.2577362060547, 169.9364471435547, 177.31259155273438, 174.6477508544922, 179.93885803222656]","[5.41, 5.22, 5.34, 5.34, 5.17]"
153,Mahoba,200,25.29164,79.87111,7,606,"[5.444904804229736, 6.178292751312256, 7.015224456787109, 7.0073466300964355, 6.432163238525391, 5.5970892906188965, 4.757855415344238, 4.848264217376709, 5.699243068695068, 5.962545871734619, 5.429748058319092, 5.067265033721924]",5.786661625,"[168.79205322265625, 172.99220275878906, 217.47195434570312, 210.22039794921875, 199.39706420898438, 167.9126739501953, 147.49351501464844, 150.2961883544922, 170.977294921875, 184.83892822265625, 162.89244079589844, 157.08522033691406]","[4.88, 4.77, 4.88, 4.81, 4.67]"
154,Manamunda,20,20.76615,83.84481,5.7,1628,"[5.872808456420898, 6.474814414978027, 6.945706367492676, 6.7084455490112305, 6.352935791015625, 5.319880962371826, 4.414163112640381, 4.455939769744873, 5.549811840057373, 5.919979572296143, 6.02131462097168, 5.7167134284973145]",5.812709332,"[182.05706787109375, 181.2947998046875, 215.31689453125, 201.2533721923828, 196.94100952148438, 159.596435546875, 136.83905029296875, 138.13414001464844, 166.49435424804688, 183.5193634033203, 180.63943481445312, 177.21810913085938]","[4.98, 4.98, 5.01, 4.9, 4.91]"
155,Mandsaur,279,24.07259,75.066,6.5,1084,"[5.979673862457275, 6.674548625946045, 7.199974536895752, 7.043519020080566, 6.755133152008057, 5.569168567657471, 4.613503932952881, 4.495547771453857, 5.932093143463135, 6.531137466430664, 6.056180953979492, 5.7399749755859375]",6.049205303,"[185.36988830566406, 186.88735961914062, 223.19920349121094, 211.30557250976562, 209.4091339111328, 167.07505798339844, 143.01861572265625, 139.3619842529297, 177.96279907226562, 202.4652557373047, 181.6854248046875, 177.93922424316406]","[5.07, 5.04, 5.08, 4.99, 4.82]"
156,Mandya,59,12.52735,76.89465,7.5,1396,"[6.64646577835083, 7.070021152496338, 7.211606502532959, 6.849462985992432, 6.176262855529785, 5.293726444244385, 5.09473991394043, 5.213168144226074, 5.808872699737549, 5.817525863647461, 5.728953838348389, 5.975780010223389]",6.073881626,"[206.04043579101562, 197.96058654785156, 223.55979919433594, 205.48388671875, 191.46414184570312, 158.81179809570312, 157.9369354248047, 161.60821533203125, 174.26617431640625, 180.3433074951172, 171.86862182617188, 185.24917602539062]","[5.33, 5.41, 5.26, 5.34, 5.38]"
157,Manimajira,0.6,30.71663,76.83862,7.3,978,"[4.543580532073975, 5.482612133026123, 6.527278900146484, 6.684280872344971, 6.497774600982666, 5.732421875, 4.990233898162842, 5.048144340515137, 5.734129905700684, 6.389505863189697, 5.63128137588501, 4.848931789398193]",5.675848484,"[140.8509979248047, 153.5131378173828, 202.34564208984375, 200.52842712402344, 201.43101501464844, 171.97265625, 154.69725036621094, 156.4924774169922, 172.02389526367188, 198.07467651367188, 168.93844604492188, 150.31687927246094]","[4.8, 4.88, 4.88, 4.85, 4.68]"
158,Mansa,196.63,23.42609,72.65793,7.3,2046,"[6.194587230682373, 6.804324626922607, 7.078039646148682, 7.029982566833496, 6.738707542419434, 5.720709800720215, 4.549176216125488, 4.438275337219238, 5.936655044555664, 6.59975528717041, 6.005366802215576, 5.824300289154053]",6.076656342,"[192.03221130371094, 190.52108764648438, 219.4192352294922, 210.89947509765625, 208.89993286132812, 171.6212921142578, 141.0244598388672, 137.58653259277344, 178.0996551513672, 204.5924072265625, 180.1610107421875, 180.55331420898438]","[5.34, 5.22, 5.26, 5.23, 5.16]"
159,Mathura,5,27.48677,77.53702,7,606,"[4.469115257263184, 5.848058223724365, 6.735971450805664, 6.946702480316162, 6.415082931518555, 5.656798362731934, 4.936193466186523, 5.106415748596191, 6.010610580444336, 5.657154083251953, 5.105938911437988, 4.7899699211120605]",5.639833927,"[138.54257202148438, 163.74563598632812, 208.8151092529297, 208.4010772705078, 198.86756896972656, 169.70394897460938, 153.02200317382812, 158.29888916015625, 180.3183135986328, 175.3717803955078, 153.17816162109375, 148.48907470703125]","[4.85, 4.82, 4.83, 4.76, 4.62]"
160,Medak,766.95,18.04749,78.2667600000002,9.5,1896,"[6.368287086486816, 6.679650783538818, 6.891286849975586, 6.872933864593506, 6.22003173828125, 5.181731224060059, 4.490654945373535, 4.648372173309326, 5.456925868988037, 5.84528923034668, 5.920705318450928, 5.895915508270264]",5.872648239,"[197.41690063476562, 187.0302276611328, 213.62989807128906, 206.18801879882812, 192.82098388671875, 155.45193481445312, 139.21029663085938, 144.0995330810547, 163.70777893066406, 181.20396423339844, 177.62115478515625, 182.77337646484375]","[5.28, 5.14, 5.27, 5.16, 5.16]"
161,Miraj,1,16.82807,74.64908,8.91,1424,"[6.446223258972168, 7.0758843421936035, 7.065969467163086, 6.830915451049805, 6.447835445404053, 5.1431355476379395, 4.718428611755371, 4.869019031524658, 5.493290424346924, 5.771803379058838, 5.938363552093506, 6.076783180236816]",5.989804745,"[199.83291625976562, 198.124755859375, 219.04505920410156, 204.92745971679688, 199.88290405273438, 154.2940673828125, 146.2712860107422, 150.93959045410156, 164.7987060546875, 178.9259033203125, 178.15090942382812, 188.38027954101562]","[5.24, 5.06, 5.19, 5.08, 5.01]"
162,Mirzapu,75,25.13432,82.56707,7,606,"[5.036257743835449, 5.947704792022705, 6.90036153793335, 6.748260498046875, 6.300364017486572, 5.342034816741943, 4.824307918548584, 5.018259525299072, 5.395796775817871, 6.002350330352783, 5.346802711486816, 4.843180179595947]",5.642139912,"[156.12399291992188, 166.53573608398438, 213.9112091064453, 202.44781494140625, 195.311279296875, 160.26104736328125, 149.5535430908203, 155.5660400390625, 161.8739013671875, 186.07286071777344, 160.40408325195312, 150.13858032226562]","[4.77, 4.64, 4.79, 4.78, 4.56]"
163,Morbi,6.61,22.80777,70.82356,5,2378,"[6.306286334991455, 6.749291896820068, 6.878441333770752, 7.024852275848389, 6.679616928100586, 5.762953281402588, 4.541523456573486, 4.59723424911499, 6.021335124969482, 6.4639105796813965, 5.845968723297119, 5.936202049255371]",6.067301273,"[195.494873046875, 188.9801788330078, 213.23167419433594, 210.74557495117188, 207.06813049316406, 172.8885955810547, 140.7872314453125, 142.51426696777344, 180.6400604248047, 200.3812255859375, 175.37905883789062, 184.0222625732422]","[5.31, 5.2, 5.23, 5.27, 5.13]"
164,Mr Anand Darekar,1,22.56667,72.93333,8.91,1424,"[6.23804235458374, 6.754357814788818, 7.139913082122803, 7.008510112762451, 6.715569972991943, 5.813779830932617, 4.648125648498535, 4.67775297164917, 5.6811842918396, 6.504212379455566, 5.915902614593506, 5.789891242980957]",6.073936939,"[193.3793182373047, 189.1220245361328, 221.33731079101562, 210.25531005859375, 208.1826629638672, 174.41339111328125, 144.09188842773438, 145.01034545898438, 170.43553161621094, 201.63058471679688, 177.47708129882812, 179.48663330078125]","[5.32, 5.19, 5.27, 5.24, 5.12]"
166,Mysore,45.5,12.30906,76.65303,7.5,1396,"[6.711841106414795, 6.941046714782715, 7.170952796936035, 6.6970062255859375, 6.084191799163818, 5.276830196380615, 5.131783962249756, 5.337802886962891, 5.9008402824401855, 5.636265277862549, 5.846474647521973, 6.125253200531006]",6.071690083,"[208.06707763671875, 194.34930419921875, 222.29953002929688, 200.91018676757812, 188.6099395751953, 158.30490112304688, 159.08529663085938, 165.47189331054688, 177.02520751953125, 174.72422790527344, 175.3942413330078, 189.88284301757812]","[5.33, 5.41, 5.26, 5.34, 5.38]"
167,NITTTR Sector-46,0.065,19.01067,73.01497,7.3,978,"[6.367896556854248, 6.974148273468018, 7.190794944763184, 6.948013782501221, 6.528893947601318, 4.646399974822998, 3.8431687355041504, 3.9688472747802734, 5.037147045135498, 5.898280620574951, 5.98967170715332, 5.903039455413818]",5.774692059,"[197.40480041503906, 195.27615356445312, 222.91464233398438, 208.44041442871094, 202.3957061767578, 139.39199829101562, 119.13822937011719, 123.03426361083984, 151.11441040039062, 182.84669494628906, 179.69015502929688, 182.9942169189453]","[5.09, 4.91, 5.04, 5.01, 4.87]"
168,Nabarangpur,40,19.23348,82.54784,5.7,1628,"[6.205846309661865, 6.6230549812316895, 6.752436637878418, 6.849302291870117, 6.064815998077393, 4.950074195861816, 4.031676769256592, 4.105573654174805, 5.073909282684326, 6.120165824890137, 5.983890056610107, 6.051933765411377]",5.734390259,"[192.38124084472656, 185.44554138183594, 209.32553100585938, 205.47906494140625, 188.00929260253906, 148.50222778320312, 124.98198699951172, 127.27278900146484, 152.21728515625, 189.7251434326172, 179.51670837402344, 187.6099395751953]","[4.97, 4.96, 4.95, 4.81, 4.89]"
169,Nagapatinm,4,10.76667,79.83333,6.6,1866,"[5.780675411224365, 6.593421459197998, 6.90548038482666, 6.568442344665527, 5.993131160736084, 5.771932601928711, 5.718233108520508, 5.864302158355713, 6.044247150421143, 5.241046905517578, 4.844588756561279, 5.013738632202148]",5.86160326,"[179.20094299316406, 184.6157989501953, 214.06988525390625, 197.0532684326172, 185.7870635986328, 173.15797424316406, 177.26522827148438, 181.79336547851562, 181.32740783691406, 162.4724578857422, 145.33766174316406, 155.4259033203125]","[5.41, 5.62, 5.45, 5.37, 5.47]"
170,Nagapattinam,1,10.7769,79.84062,6.6,1866,"[5.781111717224121, 6.593753337860107, 6.9055681228637695, 6.568244934082031, 5.992767810821533, 5.771503925323486, 5.717865467071533, 5.864077568054199, 6.044219017028809, 5.241207599639893, 4.844865798950195, 5.01412296295166]",5.861608982,"[179.21446228027344, 184.62509155273438, 214.07261657714844, 197.04734802246094, 185.7758026123047, 173.14511108398438, 177.2538299560547, 181.78640747070312, 181.32656860351562, 162.47743225097656, 145.34597778320312, 155.43780517578125]","[5.41, 5.62, 5.45, 5.37, 5.47]"
171,Nagar,2.05,19.05629,74.82068,7.3,2046,"[6.265280246734619, 7.002966403961182, 7.147017955780029, 6.997774124145508, 6.6281609535217285, 5.1603899002075195, 4.563858985900879, 4.4543070793151855, 5.569272041320801, 5.950438022613525, 5.996474266052246, 5.985150337219238]",5.976757526,"[194.22369384765625, 196.0830535888672, 221.55755615234375, 209.9332275390625, 205.47299194335938, 154.8116912841797, 141.47962951660156, 138.08352661132812, 167.07815551757812, 184.4635772705078, 179.89422607421875, 185.53965759277344]","[5.17, 5.08, 5.17, 5.13, 5.0]"
172,Nagaur,40,27.20166,73.73202,7.95,1282,"[5.914821624755859, 6.277188777923584, 6.925680637359619, 6.951297283172607, 6.685267448425293, 6.089161396026611, 5.5370707511901855, 5.832748889923096, 6.4410719871521, 6.384439468383789, 6.021072864532471, 5.4873480796813965]",6.212264538,"[183.35946655273438, 175.76129150390625, 214.69610595703125, 208.53892517089844, 207.2432861328125, 182.67483520507812, 171.64920043945312, 180.81521606445312, 193.23216247558594, 197.91761779785156, 180.63218688964844, 170.1077880859375]","[5.35, 5.44, 5.39, 5.39, 5.29]"
173,Naharagun,0.2,27.10838,93.69792,4,703,"[4.294814586639404, 4.363145351409912, 3.7998461723327637, 3.832921028137207, 4.4561686515808105, 3.6863129138946533, 3.9303553104400635, 3.904062271118164, 4.041571617126465, 4.8476881980896, 4.927792072296143, 4.769670486450195]",4.23786211,"[133.13925170898438, 122.16807556152344, 117.79523468017578, 114.98763275146484, 138.1412353515625, 110.58938598632812, 121.84101104736328, 121.02593231201172, 121.24715423583984, 150.27833557128906, 147.83375549316406, 147.8597869873047]","[3.47, 3.52, 3.5, 3.48, 3.4]"
174,Naharlagun,0.01,27.10838,93.69792,4,703,"[4.294814586639404, 4.363145351409912, 3.7998461723327637, 3.832921028137207, 4.4561686515808105, 3.6863129138946533, 3.9303553104400635, 3.904062271118164, 4.041571617126465, 4.8476881980896, 4.927792072296143, 4.769670486450195]",4.23786211,"[133.13925170898438, 122.16807556152344, 117.79523468017578, 114.98763275146484, 138.1412353515625, 110.58938598632812, 121.84101104736328, 121.02593231201172, 121.24715423583984, 150.27833557128906, 147.83375549316406, 147.8597869873047]","[3.47, 3.52, 3.5, 3.48, 3.4]"
175,Naini,5,25.40018,81.83935,7,606,"[4.919582843780518, 6.006619453430176, 7.039066791534424, 6.948648929595947, 6.2510271072387695, 5.555079460144043, 4.633242130279541, 5.026996612548828, 5.516228675842285, 5.654116630554199, 5.158517360687256, 4.886534214019775]",5.632971287,"[152.50706481933594, 168.1853485107422, 218.21107482910156, 208.45947265625, 193.78184509277344, 166.6523895263672, 143.63050842285156, 155.83689880371094, 165.4868621826172, 175.27761840820312, 154.75552368164062, 151.48255920410156]","[4.77, 4.65, 4.85, 4.77, 4.57]"
176,Nalgonda,451.8,17.05712,79.26848,9.5,1896,"[5.888449668884277, 6.669754505157471, 7.066452503204346, 6.664954662322998, 6.105464935302734, 5.2198028564453125, 4.880435466766357, 5.173393726348877, 5.7536187171936035, 5.726511478424072, 5.8994221687316895, 5.7859625816345215]",5.902852535,"[182.5419464111328, 186.7531280517578, 219.06002807617188, 199.94863891601562, 189.2694091796875, 156.59408569335938, 151.2935028076172, 160.3751983642578, 172.6085662841797, 177.5218505859375, 176.982666015625, 179.36483764648438]","[5.35, 5.2, 5.29, 5.2, 5.12]"
177,Namasai,0.07,27.6654,95.87726,4,703,"[4.593564510345459, 4.695623874664307, 4.644587993621826, 4.076031684875488, 4.74879789352417, 4.500641822814941, 4.116959095001221, 4.755280017852783, 4.821687698364258, 5.177334785461426, 5.34168815612793, 5.123589992523193]",4.716314793,"[142.40049743652344, 131.4774627685547, 143.9822235107422, 122.28095245361328, 147.21273803710938, 135.01925659179688, 127.625732421875, 147.41368103027344, 144.650634765625, 160.49737548828125, 160.25064086914062, 158.83128356933594]","[4.02, 3.98, 4.09, 4.01, 4.0]"
178,Neemuch,205,24.45854,74.86246,6.5,1084,"[6.178295612335205, 6.841447353363037, 7.2138142585754395, 7.114759922027588, 6.740757465362549, 5.951147079467773, 4.719143867492676, 4.791050434112549, 6.107583522796631, 6.558334827423096, 5.974326133728027, 5.768056392669678]",6.163226604,"[191.52716064453125, 191.56053161621094, 223.62823486328125, 213.4427947998047, 208.96348571777344, 178.53440856933594, 146.29345703125, 148.52256774902344, 183.22750854492188, 203.30838012695312, 179.2297821044922, 178.80975341796875]","[5.22, 5.14, 5.2, 5.11, 4.95]"
179,Nellore,40.7,14.43979,79.99362,9.95,1480,"[5.926955223083496, 6.6211018562316895, 7.0146989822387695, 6.778562545776367, 6.071378231048584, 5.58504581451416, 5.1328511238098145, 5.341370582580566, 5.601578712463379, 5.252101421356201, 5.395125865936279, 4.931799411773682]",5.804380417,"[183.73561096191406, 185.39085388183594, 217.45567321777344, 203.35687255859375, 188.2127227783203, 167.55137634277344, 159.11837768554688, 165.58248901367188, 168.04736328125, 162.8151397705078, 161.85377502441406, 152.8857879638672]","[5.29, 5.29, 5.22, 5.31, 5.16]"
180,Nizamabad,418,18.66667,78.11667,9.5,1896,"[6.28472375869751, 6.791787624359131, 6.878690242767334, 6.8354973793029785, 6.402448654174805, 5.196366786956787, 4.576247215270996, 4.711215496063232, 5.760553359985352, 6.030467987060547, 5.93657922744751, 5.94781494140625]",5.946033001,"[194.82643127441406, 190.17005920410156, 213.23939514160156, 205.06492614746094, 198.4759063720703, 155.89100646972656, 141.86366271972656, 146.0476837158203, 172.8166046142578, 186.9445037841797, 178.09738159179688, 184.38226318359375]","[5.28, 5.14, 5.27, 5.16, 5.16]"
181,Noida,0.1,28.53342,77.3819,7.3,978,"[4.7095417976379395, 5.646195411682129, 6.554440021514893, 6.722826957702637, 6.173783779144287, 5.469456195831299, 4.867710590362549, 5.08256196975708, 5.831614017486572, 5.694904327392578, 5.081848621368408, 4.645348072052002]",5.540019512,"[145.99578857421875, 158.09347534179688, 203.18763732910156, 201.684814453125, 191.38729858398438, 164.08367919921875, 150.89903259277344, 157.55941772460938, 174.94842529296875, 176.5420379638672, 152.45545959472656, 144.0057830810547]","[4.83, 4.84, 4.87, 4.84, 4.67]"
182,Odderpalayam,2.26,11.24925,77.08867,6.6,1866,"[6.127191066741943, 6.674892902374268, 6.759426116943359, 6.483179092407227, 6.072911739349365, 5.520721912384033, 5.225062370300293, 5.6247878074646, 6.125296115875244, 5.750865936279297, 5.379976272583008, 5.500300407409668]",5.937050343,"[189.9429168701172, 186.89700317382812, 209.54220581054688, 194.49537658691406, 188.26026916503906, 165.6216583251953, 161.9769287109375, 174.36842346191406, 183.75888061523438, 178.27684020996094, 161.3992919921875, 170.50930786132812]","[5.43, 5.48, 5.33, 5.37, 5.43]"
183,"P&E Department , Mizoram",20.2,23.30780422,92.82891653,5.39,617,"[5.8719964027404785, 6.4103217124938965, 5.918588161468506, 5.840986251831055, 5.306055068969727, 4.621946334838867, 4.331354141235352, 4.976037979125977, 5.098842144012451, 5.687417030334473, 5.967385768890381, 5.870416641235352]",5.491778851,"[182.03189086914062, 179.489013671875, 183.47622680664062, 175.22958374023438, 164.48770141601562, 138.65838623046875, 134.27197265625, 154.25717163085938, 152.96527099609375, 176.30992126464844, 179.02157592773438, 181.98291015625]","[4.45, 4.69, 4.52, 4.61, 4.71]"
184,Pali,40,25.77276,73.32335,7.95,1282,"[6.042174816131592, 6.647956371307373, 7.104071617126465, 7.086105823516846, 6.806199550628662, 6.101165294647217, 5.38813591003418, 5.410948276519775, 6.325535774230957, 6.525738716125488, 6.072846412658691, 5.814647674560547]",6.277127743,"[187.3074188232422, 186.1427764892578, 220.22622680664062, 212.5831756591797, 210.9921875, 183.0349578857422, 167.03221130371094, 167.73939514160156, 189.7660675048828, 202.2978973388672, 182.18539428710938, 180.2540740966797]","[5.34, 5.3, 5.3, 5.26, 5.17]"
185,Panchkula,0.13,30.70457,76.86396,7.3,978,"[4.5432353019714355, 5.482335567474365, 6.527219772338867, 6.684503555297852, 6.498212814331055, 5.732887268066406, 4.990584373474121, 5.048373699188232, 5.734166145324707, 6.389238357543945, 5.630861759185791, 4.8485002517700195]",5.675843716,"[140.84030151367188, 153.50540161132812, 202.34381103515625, 200.5351104736328, 201.44459533691406, 171.9866180419922, 154.70811462402344, 156.4995880126953, 172.0249786376953, 198.06639099121094, 168.9258575439453, 150.3035125732422]","[4.8, 4.88, 4.88, 4.85, 4.68]"
186,Panchmahal,1.58,22.72045194,73.62926624,5,2378,"[6.214380264282227, 6.842852592468262, 7.0787153244018555, 7.074787616729736, 6.656402111053467, 5.536021709442139, 4.423335552215576, 4.1972150802612305, 5.391486167907715, 6.451432704925537, 5.983746528625488, 5.7832183837890625]",5.969466686,"[192.64578247070312, 191.59986877441406, 219.44017028808594, 212.24362182617188, 206.3484649658203, 166.08065795898438, 137.12339782714844, 130.11366271972656, 161.7445831298828, 199.99441528320312, 179.51239013671875, 179.27976989746094]","[5.23, 5.09, 5.16, 5.17, 4.99]"
187,Panjapatti,5,10.83325,78.27533,6.6,1866,"[6.089380264282227, 6.651181697845459, 6.785762786865234, 6.564442157745361, 6.086606979370117, 5.847074031829834, 5.761186599731445, 6.1301045417785645, 6.359309673309326, 5.653944969177246, 5.371460914611816, 5.32749605178833]",6.052330017,"[188.77078247070312, 186.23309326171875, 210.358642578125, 196.93325805664062, 188.684814453125, 175.41221618652344, 178.59678649902344, 190.03323364257812, 190.779296875, 175.2722930908203, 161.14382934570312, 165.15237426757812]","[5.4, 5.6, 5.41, 5.31, 5.38]"
188,Pasighat,0.01,28.06631,95.32678,4,703,"[4.354485034942627, 3.7747342586517334, 3.5748043060302734, 3.590693950653076, 4.31640625, 4.023132801055908, 3.8347067832946777, 4.3524489402771, 4.591865062713623, 5.016892433166504, 4.942903995513916, 4.488412380218506]",4.238457203,"[134.98902893066406, 105.69255828857422, 110.81893157958984, 107.72081756591797, 133.80859375, 120.69397735595703, 118.87590789794922, 134.92591857910156, 137.75595092773438, 155.52366638183594, 148.28712463378906, 139.14077758789062]","[3.46, 3.52, 3.55, 3.42, 3.37]"
189,Patan,55.52,23.8507,72.12963,5,2378,"[6.171339988708496, 6.80086088180542, 6.9456000328063965, 6.982380390167236, 6.6581621170043945, 5.827454090118408, 4.740719795227051, 4.444603443145752, 6.033690929412842, 6.648836612701416, 6.1032023429870605, 5.841615676879883]",6.099872112,"[191.31153869628906, 190.42410278320312, 215.3135986328125, 209.47140502929688, 206.4030303955078, 174.82362365722656, 146.96231079101562, 137.78269958496094, 181.01072692871094, 206.1139373779297, 183.0960693359375, 181.090087890625]","[5.34, 5.22, 5.26, 5.23, 5.16]"
